Store Name (EN),Store Name (AR),Industry,Potential,Potential Score,Website,Emails,Phone Numbers,WhatsApp,Instagram,Twitter/X,TikTok,Snapchat,Categories,Online Presence,On Tabby,On Tamara,Tabby Directory Link,BNPL Services,Website Status,Description
BodyMasters,BodyMasters,Sports & Fitness,High,100,https://bodymastersksa.com,"corporate@bodymasters.com.sa, info@bodymasters.com.sa","+966920000626, 05447051501, 920000626",,https://instagram.com/bodymasterssa,bodymastersksa,bodymasterssa,,"Fitness & Outdoor, Fitness & Outdoors",Online store + physical store,Yes,Yes,https://tabby.sa/en-SA/shop/stores/body-masters,"paymentLink, split-in-4",ok,
CityW,CityW,"Home, Furniture & Appliances",High,100,https://cityw.com.sa,sm@cityw.com.sa,920020017,,https://instagram.com/citywsa,citywsa,,,"Home & Appliances, Home & Garden",Online store + physical store,Yes,Yes,https://tabby.sa/en-SA/shop/stores/cityw,"deals, paymentLink, split-in-4",ok,
COSMOLINE MEDICAL CENTERS,COSMOLINE MEDICAL CENTERS,Beauty & Personal Care,High,100,https://cosmolinejazan.com,altomeym@gamil.com,"+967774436493, 0173310000",,https://instagram.com/cosmolinejizan0123,cosmolinejazan1,cosmolinejazan,cosmolinejizan,"Clinics, Health & Wellness",Online store + physical store,Yes,Yes,https://tabby.sa/en-SA/shop/stores/cosmoline-medical-centers,"paymentLink, split-in-4",ok,
Dahsha,Dahsha,Beauty & Personal Care,High,100,https://daahsha.com,support@daahsha.com,"+966574049121, 05756781514, 966505050505, 966574049121",,https://instagram.com/dahsha.wigs,"dahshawigs, uwt",dahshawigs,dahshastore,"Beauty & Health, Health & Wellness, الصحة",Online store + physical store,Yes,Yes,https://tabby.sa/en-SA/shop/stores/dahsha-01895334-5afa-57fd-b759-57f0f9595570,"paymentLink, split-in-4",ok,
Deraah,درعه,Beauty & Personal Care,High,100,https://deraahstore.com/ar_sa,customerservice@deraah.com.sa,"05580490000, 05679169791, 8001186666",+9668001186666,https://instagram.com/deraahonline,deraahonline,deraahonline,," متاجر متنوعة, Beauty & Health, Retail & Consumer Goods",Online store + physical store,Yes,Yes,https://tabby.sa/en-SA/shop/stores/deraah-01895425-25f0-9feb-61de-8f7b495df9e6,"paymentLink, split-in-4",ok,
Dream Fitness,Dream Fitness,Beauty & Personal Care,High,100,https://dreamfitness.shop,team@dreamfitness.shop,"+966554249938, 0515100003, 966129671521, 966543541022, 966554249938","+966543541022, +966554249938",https://instagram.com/stories,,,,"Beauty & Health, Retail & Consumer Goods",Online store + physical store,Yes,Yes,https://tabby.sa/en-SA/shop/stores/dream-fitness,"paymentLink, split-in-4",ok,
eXtra,اكسترا,Electronics & Tech,High,100,https://extra.com/en-sa,exemple@exemple.com,"+966920004123, 920004123",,https://instagram.com/extrastores,extrastores,,,"Electronics, Technology & Electronics, الإلكترونيات ",Online store + physical store,Yes,Yes,https://tabby.sa/en-SA/shop/stores/extra,"paymentLink, qrFlow, split-in-4",ok,
Faces,وجوه,Beauty & Personal Care,High,100,https://faces.sa/en,support@faces.com,"++9668001111568, 0517719689, 05214941465, 05215846323, 05717250446, 0578504364",+971563299902,https://instagram.com/facesbeautymiddleeast,facesbeautyme,,," متاجر متنوعة, Beauty & Health, Retail & Consumer Goods",Online store + physical store,Yes,Yes,https://tabby.sa/en-SA/shop/stores/faces,"deals, paymentLink, split-in-4",ok,
Farabi Medical,Farabi Medical,Beauty & Personal Care,High,100,https://farabiclinics.com,"git@github.com, info@farabiclinics.com","+966112027500, 0112027500, 05587463221",+966112027500,https://instagram.com/farabiclinics,farabiclinics,farabiclinics,farabiclinics,"Clinics, Health & Wellness, الصحة",Online store + physical store,Yes,Yes,https://tabby.sa/en-SA/shop/stores/farabi-medical-01890d36-7d45-0025-4af4-14e5d52f378c,"paymentLink, split-in-4",ok,Farabi Medical Group was established in 1990 and has more than 22 branches across the Kingdom of Saudi Arabia
fitnessway,fitnessway,Sports & Fitness,High,100,https://fitnessway-sa.com,sales@fitnessway-sa.com,"00966556288068, 0556288068, 966534818175, 966556288068","+966534818175, +966556288068",https://instagram.com/idealfitness.sa,rashakaksa,,balancedfood," متاجر متنوعة, Fitness & Outdoor, Retail & Consumer Goods",Online store + physical store,Yes,Yes,https://tabby.sa/en-SA/shop/stores/fitnessway,"paymentLink, split-in-4",ok,
Guess,جيس,Fashion & Apparel,High,100,https://guess.sa,guesscustomercare@chalhoub.com,,+971545821753,https://instagram.com/guess,guess,,,"Fashion, Fashion & Apparel, الملابس",Online store + physical store,Yes,Yes,https://tabby.sa/en-SA/shop/stores/guess,"deals, paymentLink, split-in-4",ok,
Image Dental Clinic,Image Dental Clinic,Beauty & Personal Care,High,100,https://image-dent.com,info@image-dent.com,"+966114836060, +966114837070, +9661148370704, +966504836060, +966532787070",,https://instagram.com/imagedentalclinic,imagedentclinic,imagedentalclinic,,"Clinics, Health & Wellness, الصحة",Online store + physical store,Yes,Yes,https://tabby.sa/en-SA/shop/stores/image-dental-clinic,"deals, paymentLink, split-in-4",ok,
IQONIQ,IQONIQ,Fashion & Apparel,High,100,https://iqoniq.co,support@iqoniq.co,"05035017821, 05045375866, 05050045666, 05487212234, 0549025838, 0549058606",+971501099489,https://instagram.com/iqoniq.co,,iqoniq.co,,"Fashion, Fashion & Apparel, الملابس",Online store + physical store,Yes,Yes,https://tabby.sa/en-SA/shop/stores/iqoniq,"paymentLink, split-in-4",ok,
Jarir Bookstore,مكتبة جرير,Electronics & Tech,High,100,https://jarir.com/sa-en,"care@jarir.com, u003ecare@jarir.com","+966920000089, 05628950000, 920000089",,https://instagram.com/jarirbookstore,jarirbookstore,jarirbookstore,jarirbookstore,"Arts & Crafts, Electronics, Technology & Electronics, الإلكترونيات ",Online store + physical store,Yes,Yes,https://tabby.sa/en-SA/shop/stores/jarir-bookstore,"qrFlow, split-in-4",ok,"Jarir is considered the market leader in the Middle East for consumer IT products, Electronics, Office supplies and Books."
Kaafmeem,Kaafmeem,Fashion & Apparel,High,100,https://kaafmeem.com,support@kaafmeem.com,"920033067, 966567067010",+966567067010,https://instagram.com/kaafmeem,kaafmeemco,,kaafmeem,"Fashion, Fashion & Apparel",Online store + physical store,Yes,Yes,https://tabby.sa/en-SA/shop/stores/kaafmeem,"paymentLink, split-in-4",ok,
Lomar,لومار,Fashion & Apparel,High,100,https://lomar.sa,support@lomar.sa,"+966920000554, 966920000554",,https://instagram.com/lomarthobe,lomarthobe,lomarthob,lomarthobe,"Fashion, Fashion & Apparel, الملابس",Online store + physical store,Yes,Yes,https://tabby.sa/en-SA/shop/stores/lomar-018e18bd-ed4d-ddf2-946d-b577e3093506,"paymentLink, split-in-4",ok,
MK Kabbani Furniture,MK Kabbani Furniture,"Home, Furniture & Appliances",High,100,https://mk-kabbanifurniture.com,mahmoudabdelnaby@mk-kabbanifurniture.com,"05015251000, 0501525150, 0501525350, 0501525550, 0501525750, 0501525950",+971549919305,https://instagram.com/mkkabbanifurniture,mkkabbani,mkkabbanii,mk-kabbani,"Home & Appliances, Home & Garden, المنزل",Online store + physical store,Yes,Yes,https://tabby.sa/en-SA/shop/stores/mk-kabbani-furniture-,"paymentLink, split-in-4",ok,MK Kabbani Furniture is the leading company in furniture industry with a wide range of home furniture in Riyadh
Naqi,نقي,"Home, Furniture & Appliances",High,100,https://naqi.sa,contact@naqi.sa,920021500,,https://instagram.com/naqiksa,naqiksa,naqiksa,naqiksa,"Home & Appliances, Home & Garden, المنزل",Online store + physical store,Yes,Yes,https://tabby.sa/en-SA/shop/stores/naqi,"paymentLink, split-in-4",ok,Naqi is a Water purification company in Riyadh
Natural Touch,ناتشورال تاتش,Beauty & Personal Care,High,100,https://naturaltouchshop.com/ar,help@ntshop.sa,"+966503111601, 966503111601, 966505050505",,https://instagram.com/naturaltouchme,naturaltouchme,naturaltouchme,naturaltouchsa," متاجر متنوعة, Beauty & Health, Retail & Consumer Goods",Online store + physical store,Yes,Yes,https://tabby.sa/en-SA/shop/stores/natural-touch,"qrFlow, split-in-4",ok,"""British Brand  Care inspired by nature Simply Yours"""
NIKE,نايك,Fashion & Apparel,High,100,https://nike.com/sa,privacy@gmg.com,"+966114339451, 05699488039",,https://instagram.com/nike,nike,,,"Fashion, Fashion & Apparel, الملابس",Online store + physical store,Yes,Yes,https://tabby.sa/en-SA/shop/stores/nike,"paymentLink, qrFlow, split-in-4",ok,"World-renowned brand of athletic footwear, clothing and equipment."
nokttain,nokttain,Electronics & Tech,High,100,https://nokttain.com,nokttain@nokttain.com,"+966502020449, 966502020449, 966505050505",,https://instagram.com/nokttain,,nokttain,anker.99,"Electronics, Technology & Electronics",Online store + physical store,Yes,Yes,https://tabby.sa/en-SA/shop/stores/nokttain-and-qus,"paymentLink, split-in-4",ok,Smile makers to satisfy you with premium products.
Paris Gallery,Paris Gallery,Fashion & Apparel,High,100,https://parisgalleryksa.com,support@parisgalleryme.com,966558930979,+966558930979,https://instagram.com/parisgallerymiddleeast,parisgalleryme,parisgalleryme,,"Beauty & Health, Fashion & Apparel, Kids & Toys",Online store + physical store,Yes,Yes,https://tabby.sa/en-SA/shop/stores/paris-gallery-01890d36-7d47-3835-96d1-6a6b3c5807c4,"paymentLink, split-in-4",ok,"For over 20 years, Paris Gallery has been the sole choice for elite customers seeking trust, authenticity, and exclusivity."
RAM Clinics,RAM Clinics,Beauty & Personal Care,High,100,https://ramclinics.net,ramsupport@ramclinics.com,"0133334050, 05021771942, 05051318511, 05181420081, 05241224551, 05251600367",+966920020011,https://instagram.com/ramclinics,ramclinics,,,"Beauty & Health, Health & Wellness, الصحة",Online store + physical store,Yes,Yes,https://tabby.sa/en-SA/shop/stores/ram-clinics-01890d36-7d47-3835-96d1-6a863da6133d,"paymentLink, split-in-4",ok,
rashodi,مؤسسة عبدالرحمن محمد الرشودي للمقاولات,Electronics & Tech,High,100,https://rashodi.com,admin@rashodi.com,+966505711837,,https://instagram.com/alrashodi_est,rashodi_est,alrashodiest,,"Home & Appliances, Technology & Electronics, الإلكترونيات ",Online store + physical store,Yes,Yes,https://tabby.sa/en-SA/shop/stores/mw-ss-bdlrhmn-mhmd-lrshwdy-llmqwlt-018e5b78-2cd0-2d70-495c-b698534a2ab3,"paymentLink, split-in-4",ok,
rawahtel,روعة الهاتف,Electronics & Tech,High,100,https://rawah.net.sa,tabuk050@gmail.com,"+966505555323, +966591660320, 05916437236, 966505050505, 966591660320",+966505555323,https://instagram.com/rawahtel,rawahtel,,rawah-tel,"Electronics, Technology & Electronics, الإلكترونيات ",Online store + physical store,Yes,Yes,https://tabby.sa/en-SA/shop/stores/rawat-alhatif,"paymentLink, split-in-4",ok,Mobile phone and accessories store.
Reefi,Reefi,Fashion & Apparel,High,100,https://reefi.me,help@two.sa,"+966539912222, 05971912838, 966539912222",+966539912222,https://instagram.com/reefi.me,reefi_store,reefi.me,reefi.me,"Fashion, Fashion & Apparel, الملابس",Online store + physical store,Yes,Yes,https://tabby.sa/en-SA/shop/stores/reefi,"deals, paymentLink, split-in-4",ok,
RoseMary,RoseMary,Beauty & Personal Care,High,100,https://rosemary.com.sa,"sales@massarcloud.sa, support@massarcloud.sa","+966112297000, +966920007908, 920007908, 966920007908",,,massarcloud,,,"Beauty & Health, Health & Wellness",Online store + physical store,Yes,Yes,https://tabby.sa/en-SA/shop/stores/RoseMary-0189537f-5eab-6e0b-2afb-83c3bcb6d70e,"paymentLink, split-in-4",ok,
Sayyar,Sayyar,Fashion & Apparel,High,100,https://sayyar.com,info@sayyar.com,"+966555700007, 966505050505, 966555700007",+966555700007,https://instagram.com/sayyargcc,sayyargcc,sayyargcc,sayyarksa,"Fashion, Fashion & Apparel",Online store + physical store,Yes,Yes,https://tabby.sa/en-SA/shop/stores/sayyar,"deals, paymentLink, split-in-4",ok,"A Saudi brand that has redefined elegance, specialized in offering the finest men's clothing and accessories, with high-end and modern designs that combines quality and luxury."
Shopkees,شركة كيس تسوق,Electronics & Tech,High,100,https://shopkees.com/saudi-en,"email : sales@shopkees.com, sales@shopkees.com, support@shopkees.com","+971600500550, 05070785471, 05336691762",+971600500550,https://instagram.com/shopkees,shopkees_com,,,"Others, Technology & Electronics, الإلكترونيات ",Online store + physical store,Yes,Yes,https://tabby.sa/en-SA/shop/stores/Shopkees-0189ba82-8e95-2069-2a7c-240886122110,"paymentLink, split-in-4",ok,
SONAY COFFEE,متجر واتش تو يو,"Home, Furniture & Appliances",High,100,https://sonay.sa,cs@sonay.sa,"+966564947053, 0564947053",,https://instagram.com/embed.js,,,," متاجر متنوعة, Home & Appliances",Online store + physical store,Yes,Yes,https://tabby.sa/en-SA/shop/stores/SONAY-COFFEE-018b0f35-0de8-1570-026d-1c255a5ca39f,"paymentLink, split-in-4",ok,"At Shabeel Al-Qamar (Sonai), we provide everything you need for specialty coffee crops and their tools. We strive for leadership through continuous improvement and innovation."
Swiss Corner,Swiss Corner,Fashion & Apparel,High,100,https://swisscorner.co,info@swisscorner.co,"+966920017991, 05155400003, 920017991",,https://instagram.com/embed.js,,,,"Fashion, Retail & Consumer Goods",Online store + physical store,Yes,Yes,https://tabby.sa/en-SA/shop/stores/swiss-corner,"paymentLink, split-in-4",ok,
Tamkeen,تأميني,Electronics & Tech,High,100,https://tamkeenstores.com.sa,"contact@tamkeenstores.com.sa, usman@tamkeen-ksa.com",8002444464,,https://instagram.com/tamkeenstores,tamkeenstores,tamkeenstores,,"Electronics, Home & Garden",Online store + physical store,Yes,Yes,https://tabby.sa/en-SA/shop/stores/tamkeen-stores,"deals, paymentLink, split-in-4",ok,"Tamkeen Stores is a one-stop shop for electronics, appliances, and air conditioning that provides premium and quality global brands at affordable prices. Offers a wide range of home appliances."
Thameen,Thameen,Beauty & Personal Care,High,100,https://thameenfragrance.com,info@thameenfragrance.com,"05117737341, 05177149762, 05206081610, 05279129177, 05411771497, 05505498557",,https://instagram.com/thameen.london,,thameenfragrance,,"Beauty, Others, الجمال",Online store + physical store,Yes,Yes,https://tabby.sa/en-SA/shop/stores/thameen-0189527a-8534-1337-28fb-061b5a361fc9,"qrFlow, split-in-4",ok,
The Body Shop (East),The Body Shop (East),Beauty & Personal Care,High,100,https://thebodyshop.com.sa/east/en,support@althomad.com,"+966595277215, 05353840000, 966599668038","+966595277215, +966599668038",https://instagram.com/thebodyshopsaudieast,thebodyshopse,thebodyshopsaudieast,thebodyshopruh," متاجر متنوعة, Beauty & Health, Retail & Consumer Goods",Online store + physical store,Yes,Yes,https://tabby.sa/en-SA/shop/stores/the-body-shop-east,"paymentLink, split-in-4",ok,
Top Center,Top Center,Fashion & Apparel,High,100,https://topcenter.com.sa,online_store@topcenter.com.sa,"920031931, 966920031931",+966920031931,https://instagram.com/top_center_co,topcenter_co,,top_center,"Fashion, الملابس",Online store + physical store,Yes,Yes,https://tabby.sa/en-SA/shop/stores/top-center-018dd044-cc36-d699-7c4d-19b05b4aa26c,"paymentLink, split-in-4",ok,
Under Armour,Under Armour,Fashion & Apparel,High,100,https://underarmour.sa/en/home,careers@gmg.com,"+966114339460, 966114339460",,"https://instagram.com/underarmour, https://instagram.com/underarmourme",underarmour,underarmourme,,"Fashion, الملابس",Online store + physical store,Yes,Yes,https://tabby.sa/en-SA/shop/stores/under-armour,"deals, paymentLink, qrFlow, split-in-4",ok,is an American sportswear company that manufactures footwear and apparel.
,خيوط الزعفران SA,General Retail,High,100,https://za3ffran.com,info@za3ffran.com,"+966920035252, 966505050505, 966555405092, 966920035252","+966555405092, +966920035252",https://instagram.com/za3ffran,"uwt, za3ffran",za3ffran,," متاجر متنوعة, Others",Online store + physical store,Yes,Yes,https://tabby.sa/en-SA/shop/stores/saffron-threads,"paymentLink, split-in-4",ok,
,فكرة بلس,General Retail,High,100,https://fikrahplus.com,store@fikrahplus.com,"+966568744499, 00966568744499, 0565185547, 0588378906, 966102600097, 966568744499",,https://instagram.com/fikrahplus,"fikrahplus, uwt",fikrahplus,,"Others, الخدمات الشخصية والمهنية",Online store + physical store,Yes,Yes,https://tabby.sa/en-SA/shop/stores/fkrh-bls-018d7ff4-c6b6-3115-390a-a2c5ecb17c9f,"paymentLink, split-in-4",ok,"Discover the most beautiful innovative incense burners, customized with your names and the names of your loved ones. Offering delivery and shipping across the Kingdom with multiple payment options."
,مجمع الماجد الطبي,Beauty & Personal Care,High,100,https://almajid-complex.com,"almajidcomplex@gmail.com, almajidcomplexmarketing@gmail.com","+966506222542, 0555973883, 920031337, 966920031337",+920031337,,"category, offers",,,"Beauty & Health, الصحة",Online store + physical store,Yes,Yes,https://tabby.sa/en-SA/shop/stores/almajid-medical-complex,"paymentLink, split-in-4",ok,Specialist in Dental and Dermatology
,محترفون الجبيل,Electronics & Tech,High,100,https://m7jubil.com,m7trfonaljubail@gmail.com,+966531643316,,https://instagram.com/m2.alj,,jubailprofessionals,s6.6o,"Electronics, الملابس",Online store + physical store,Yes,Yes,https://tabby.sa/en-SA/shop/stores/mhtrfwn-aljbyl-01895278-0146-cf42-44f6-3e66ac44c644,"paymentLink, split-in-4",ok,"Specialists in selling all mobile accessories, screen protection covers, electronics, and various offers, all of the highest quality and at competitive prices."
711choose,711choose,Beauty & Personal Care,High,95,https://safeerperfumes.com,safeer-perfumes@hotmail.com,"+966558085052, 966505050505, 966558085052",+966558085052,https://instagram.com/safeer_perfumes,"safeerperfumes, uwt",safeerperfumes,safeer-perfum,"Beauty & Health, Retail & Consumer Goods",Online store,Yes,Yes,https://tabby.sa/en-SA/shop/stores/711choose-0189541e-419c-ac5d-756a-a6accbcda7a1,split-in-4,ok,"Safir Perfumes is specialized in a wide range of global brands, classic vintage fragrances, niche perfumes, and rare scents."
addaxsa,اداًكس,Fashion & Apparel,High,95,https://addaxsa.com,"addaxsa@gmail.com, techpioneers90@gmail.com","+966582903042, 05621239603, 966505050505, 966582903042","+201508155782, +966582903042",https://instagram.com/addax_sa,addax_sa,addax_sa,addax_sa,"Fashion, Fashion & Apparel, الملابس",Online store,Yes,Yes,https://tabby.sa/en-SA/shop/stores/addaxsa-0189251c-99df-8c98-3cbd-acdb145611cf,split-in-4,ok,A Saudi clothing brand specialized in oversized T-shirts and sweatshirts.
Ahaleena Medical Clinic SAU,Ahaleena Medical Clinic SAU,Beauty & Personal Care,High,95,https://ahaleena-offer.com,sales@ahaleena.sa,"+966542205088, +966920008758",,https://instagram.com/ahaleenamedical,ahaleenamedical,,ahaleenamedical,"Clinics, Health & Wellness",Online store,Yes,Yes,https://tabby.sa/en-SA/shop/stores/ahaleena-medical-clinic-sau-018954ae-3371-0429-4bba-84dfc0cc326a,split-in-4,ok,"A specialized medical center offering services in dentistry, dermatology, and laser treatments. We have a branch located in Al Khobar, specifically in the Al Rakah North area, providing dental and der"
Al Nasser Jewelry,Al Nasser Jewelry,Fashion & Apparel,High,95,https://alnj.net,alnasserjewelry@gmail.com,"+966535321822, 966535321822",,https://instagram.com/alnasserjewelry,alnasser_jewe1,alnasser_jewelry,aln-j,"Fashion, Jewellery, Gold & Watches",Online store,Yes,Yes,https://tabby.sa/en-SA/shop/stores/al-nasser-jewelry-01895375-1f67-2692-4ceb-b2f631612e5b,split-in-4,ok,
aldheba fashion,aldheba fashion,Fashion & Apparel,High,95,https://al-dheba.com,aldhebaest.sa@gmail.com,+966539954000,,https://instagram.com/embed.js,,,,"Fashion, Fashion & Apparel",Online store,Yes,Yes,https://tabby.sa/en-SA/shop/stores/aldheba-fashion-018952c4-d669-7280-7407-55bfb0f39276,split-in-4,ok,
almasahclub,مركز ألماسه للرياضة النسائية KSA,Sports & Fitness,High,95,https://almasahclub.com,m.alotaibi@nag.com.sa,"+966539494009, 0565185547, 0588378906, 966102600097, 966539494009, 966554440351",,https://instagram.com/almasahclub,almasahclub,,almasahclub,"Fitness & Outdoor, Fitness & Outdoors",Online store,Yes,Yes,https://tabby.sa/en-SA/shop/stores/mrkz-almash-llryadhh-alnsaeyh-ksa-01895230-3a22-a987-b6ba-695b42d8042e,split-in-4,ok,
almobda,almobda,Beauty & Personal Care,High,95,https://almobda.net,almobda.me@gmail.com,"+966565650800, 0542899408, 966164860435, 966505050505, 966505884467, 966565650800",,https://instagram.com/almobda_me,almobda_me,almobda.me,almobda_3," متاجر متنوعة, Beauty & Health, Retail & Consumer Goods",Online store,Yes,Yes,https://tabby.sa/en-SA/shop/stores/almobda-0189538f-0d91-da83-8828-93b36830ab9f,"paymentLink, split-in-4",ok,
almuthed,almuthed,Fashion & Apparel,High,95,https://th-almuthed.com,info@th-almuthed.com,+966558818008,,https://instagram.com/th.almuthed,th_almuthed,,,"Fashion, Fashion & Apparel, الملابس",Online store,Yes,Yes,https://tabby.sa/en-SA/shop/stores/almuthed-018954af-aa9f-c1da-ed51-4c7836e8bcca,split-in-4,ok,
Alnasej,Alnasej,Fashion & Apparel,High,95,https://alnasejtex.com,customer.service@alnasejtex.com,"+966580972872, +966592109131, 05117300003, 966580972872",,,"blog, category",,,"Fashion, Fashion & Apparel, الملابس",Online store,Yes,Yes,https://tabby.sa/en-SA/shop/stores/alnasej-01890d36-7d44-ac4c-148f-1551d6b2a958,split-in-4,ok,"At Al-Naseej for Fabrics, creativity meets the world of winter and summer textiles, as we paint the essence of elegance and Arab luxury. For 50 years, we have been weaving the finest types for you."
Asas store,متجر أساس,Electronics & Tech,High,95,https://asasonline.net,info@asasonline.net,"+966541551945, 05506293259, 05960954923, 966505050505, 966541551945",,https://instagram.com/asas_knw,asas_kn,asas__sa,asas.est,"Electronics, Technology & Electronics, الإلكترونيات ",Online store,Yes,Yes,https://tabby.sa/en-SA/shop/stores/asas-store,split-in-4,ok,ASAS store of the best technical products original products is an authorized distributor of the best international brands.
Asl Fakhama,Asl Fakhama,Fashion & Apparel,High,95,https://aslalfakama.com,aslalfakama@gmail.com,+966563177482,,https://instagram.com/aslalfakama,,,,"Fashion & Apparel, Others, الملابس",Online store,Yes,Yes,https://tabby.sa/en-SA/shop/stores/asl-fakhama-01895417-9df5-e2ee-6c8d-9977edd480bd,split-in-4,ok,"The official website for Asl Al Fakhama store offers products at the lowest prices. This store specializes in the luxury of watches, women's handbags, and gift boxes for both men and women. Shop now."
baazab,متجر باعزب,Electronics & Tech,High,95,https://salla.sa/baazb.com,sales@baazab.com,"+966570895009, 966570895009",+966570895009,https://instagram.com/baazabstore,baazabstore,baazab,,"Electronics, Technology & Electronics, الإلكترونيات ",Online store,Yes,Yes,https://tabby.sa/en-SA/shop/stores/mtjr-baazb-0189531f-eb43-fba3-1b83-6ee4decf9362,split-in-4,ok,"Specialized in the field of dash cams, electronics, surveillance cameras, and intercoms, we offer you the best original products at the lowest prices."
Baharathwaq,Baharathwaq,Grocery & Supermarket,High,95,https://baharathwaq-sa.com,baharathwaq@outlook.com,"+966566161695, 0565185547, 0575697324, 0588378906, 966102600097, 966566161695",,https://instagram.com/baharathwaq_sa,baharathwaq,,baharathwaq," متاجر متنوعة, Retail & Consumer Goods, Supermarket",Online store,Yes,Yes,https://tabby.sa/en-SA/shop/stores/baharathwaq-018953a1-ddac-885a-a4ca-8b6a89728f88,split-in-4,ok,"In Bahar Azwaq, where Saudi traditions meet global flavors, we are proud to offer a collection of pure spices that represent the finest ingredients of international and local cuisines."
